country,disagree,neither,agree,all_resp
New Zealand,0.15,0.09,0.77,222
Greece,0.10,0.14,0.76,126
China,0.14,0.15,0.71,937
Argentina,0.12,0.18,0.70,208
Denmark,0.15,0.17,0.68,128
Germany,0.16,0.18,0.67,"1,081"
Netherlands,0.17,0.18,0.65,305
South Korea,0.20,0.15,0.65,128
Norway,0.16,0.22,0.62,176
Portugal,0.20,0.19,0.61,296
Austria,0.19,0.20,0.61,172
Australia,0.21,0.20,0.59,645
Canada,0.25,0.19,0.56,636
Sweden,0.22,0.22,0.55,241
Switzerland,0.24,0.21,0.55,264
South Africa,0.29,0.18,0.52,119
Belgium,0.28,0.21,0.51,155
Turkey,0.25,0.24,0.50,103
India,0.28,0.23,0.49,542
Italy,0.26,0.25,0.49,"1,491"
Colombia,0.29,0.25,0.45,99
Japan,0.26,0.32,0.42,220
France,0.38,0.22,0.40,547
Mexico,0.42,0.19,0.39,399
Spain,0.45,0.22,0.33,900
Russian Federation,0.33,0.36,0.30,141
Poland,0.40,0.31,0.28,172
United Kingdom,0.56,0.20,0.24,995
Brazil,0.64,0.14,0.23,653
Chile,0.57,0.21,0.22,202
United States of America,0.66,0.16,0.18,"3,335"
